"target"	"target_word"	"mispronunciation"	"age"	"target_ortho"	"target_phono"	"tokid"	"meaningful"
"'n"	"dipońate"	NA	9.52563226247437	"dipońate"	"ṭipɔnætɛ"	"diponate 7"	FALSE
"a"	"dipońate"	NA	9.52563226247437	"dipońate"	"ṭipɔnætɛ"	"diponate 7"	FALSE
"ch"	"dipońate"	NA	9.52563226247437	"dipońate"	"ṭipɔnætɛ"	"diponate 7"	FALSE
"e"	"dipońate"	NA	9.52563226247437	"dipońate"	"ṭipɔnætɛ"	"diponate 7"	FALSE
"d"	"dipońate"	NA	7.20710868079289	"dipońate"	"ṭipɔnætɛ"	"diponate 13"	FALSE
"i"	"dipońate"	NA	7.20710868079289	"dipońate"	"ṭipɔnætɛ"	"diponate 13"	FALSE
"p"	"dipońate"	NA	7.20710868079289	"dipońate"	"ṭipɔnætɛ"	"diponate 13"	FALSE
"o"	"dipońate"	NA	7.20710868079289	"dipońate"	"ṭipɔnætɛ"	"diponate 13"	FALSE
"'n"	"dipońate"	NA	7.20710868079289	"dipońate"	"ṭipɔnætɛ"	"diponate 13"	FALSE
"a"	"dipońate"	NA	7.20710868079289	"dipońate"	"ṭipɔnætɛ"	"diponate 13"	FALSE
"ch"	"dipońate"	NA	7.20710868079289	"dipońate"	"ṭipɔnætɛ"	"diponate 13"	FALSE
"e"	"dipońate"	NA	7.20710868079289	"dipońate"	"ṭipɔnætɛ"	"diponate 13"	FALSE
"i"	"dipońate"	"tiponate"	5.27136021872864	"dipońate"	"ṭipɔnætɛ"	"diponate 14"	TRUE
"p"	"dipońate"	"tiponate"	5.27136021872864	"dipońate"	"ṭipɔnætɛ"	"diponate 14"	TRUE
"o"	"dipońate"	"tiponate"	5.27136021872864	"dipońate"	"ṭipɔnætɛ"	"diponate 14"	TRUE
"a"	"dipońate"	"tiponate"	5.27136021872864	"dipońate"	"ṭipɔnætɛ"	"diponate 14"	TRUE
"ch"	"dipońate"	"tiponate"	5.27136021872864	"dipońate"	"ṭipɔnætɛ"	"diponate 14"	TRUE
"e"	"dipońate"	"tiponate"	5.27136021872864	"dipońate"	"ṭipɔnætɛ"	"diponate 14"	TRUE
"d"	"dipońate"	NA	5.27136021872864	"dipońate"	"ṭipɔnætɛ"	"diponate 1"	FALSE
"i"	"dipońate"	NA	5.27136021872864	"dipońate"	"ṭipɔnætɛ"	"diponate 1"	FALSE
"p"	"dipońate"	NA	5.27136021872864	"dipońate"	"ṭipɔnætɛ"	"diponate 1"	FALSE
"o"	"dipońate"	NA	5.27136021872864	"dipońate"	"ṭipɔnætɛ"	"diponate 1"	FALSE
"'n"	"dipońate"	NA	5.27136021872864	"dipońate"	"ṭipɔnætɛ"	"diponate 1"	FALSE
"a"	"dipońate"	NA	5.27136021872864	"dipońate"	"ṭipɔnætɛ"	"diponate 1"	FALSE
"ch"	"dipońate"	NA	5.27136021872864	"dipońate"	"ṭipɔnætɛ"	"diponate 1"	FALSE
"e"	"dipońate"	NA	5.27136021872864	"dipońate"	"ṭipɔnætɛ"	"diponate 1"	FALSE
"i"	"dipońate"	"tiponate"	5.19480519480519	"dipońate"	"ṭipɔnætɛ"	"diponate 2"	TRUE
"p"	"dipońate"	"tiponate"	5.19480519480519	"dipońate"	"ṭipɔnætɛ"	"diponate 2"	TRUE
"o"	"dipońate"	"tiponate"	5.19480519480519	"dipońate"	"ṭipɔnætɛ"	"diponate 2"	TRUE
"a"	"dipońate"	"tiponate"	5.19480519480519	"dipońate"	"ṭipɔnætɛ"	"diponate 2"	TRUE
"ch"	"dipońate"	"tiponate"	5.19480519480519	"dipońate"	"ṭipɔnætɛ"	"diponate 2"	TRUE
"e"	"dipońate"	"tiponate"	5.19480519480519	"dipońate"	"ṭipɔnætɛ"	"diponate 2"	TRUE
"d"	"dipońate"	NA	11.0321257689679	"dipońate"	"ṭipɔnætɛ"	"diponate 28"	FALSE
"i"	"dipońate"	NA	11.0321257689679	"dipońate"	"ṭipɔnætɛ"	"diponate 28"	FALSE
"p"	"dipońate"	NA	11.0321257689679	"dipońate"	"ṭipɔnætɛ"	"diponate 28"	FALSE
"o"	"dipońate"	NA	11.0321257689679	"dipońate"	"ṭipɔnætɛ"	"diponate 28"	FALSE
"'n"	"dipońate"	NA	11.0321257689679	"dipońate"	"ṭipɔnætɛ"	"diponate 28"	FALSE
"a"	"dipońate"	NA	11.0321257689679	"dipońate"	"ṭipɔnætɛ"	"diponate 28"	FALSE
"ch"	"dipońate"	NA	11.0321257689679	"dipońate"	"ṭipɔnætɛ"	"diponate 28"	FALSE
"e"	"dipońate"	NA	11.0321257689679	"dipońate"	"ṭipɔnætɛ"	"diponate 28"	FALSE
"i"	"dipońate"	"tipodenate"	4.80109364319891	"dipońate"	"ṭipɔnætɛ"	"diponate 26"	TRUE
"p"	"dipońate"	"tipodenate"	4.80109364319891	"dipońate"	"ṭipɔnætɛ"	"diponate 26"	TRUE
"o"	"dipońate"	"tipodenate"	4.80109364319891	"dipońate"	"ṭipɔnætɛ"	"diponate 26"	TRUE
"a"	"dipońate"	"tipodenate"	4.80109364319891	"dipońate"	"ṭipɔnætɛ"	"diponate 26"	TRUE
"ch"	"dipońate"	"tipodenate"	4.80109364319891	"dipońate"	"ṭipɔnætɛ"	"diponate 26"	TRUE
"e"	"dipońate"	"tipodenate"	4.80109364319891	"dipońate"	"ṭipɔnætɛ"	"diponate 26"	TRUE
"d"	"dipońate"	NA	7.25358851674641	"dipońate"	"ṭipɔnætɛ"	"diponate 6"	FALSE
"i"	"dipońate"	NA	7.25358851674641	"dipońate"	"ṭipɔnætɛ"	"diponate 6"	FALSE
"p"	"dipońate"	NA	7.25358851674641	"dipońate"	"ṭipɔnætɛ"	"diponate 6"	FALSE
"o"	"dipońate"	NA	7.25358851674641	"dipońate"	"ṭipɔnætɛ"	"diponate 6"	FALSE
"'n"	"dipońate"	NA	7.25358851674641	"dipońate"	"ṭipɔnætɛ"	"diponate 6"	FALSE
"a"	"dipońate"	NA	7.25358851674641	"dipońate"	"ṭipɔnætɛ"	"diponate 6"	FALSE
"ch"	"dipońate"	NA	7.25358851674641	"dipońate"	"ṭipɔnætɛ"	"diponate 6"	FALSE
"e"	"dipońate"	NA	7.25358851674641	"dipońate"	"ṭipɔnætɛ"	"diponate 6"	FALSE
"d"	"dipońate"	NA	7.4066985645933	"dipońate"	"ṭipɔnætɛ"	"diponate 17"	FALSE
"i"	"dipońate"	NA	7.4066985645933	"dipońate"	"ṭipɔnætɛ"	"diponate 17"	FALSE
"p"	"dipońate"	NA	7.4066985645933	"dipońate"	"ṭipɔnætɛ"	"diponate 17"	FALSE
"o"	"dipońate"	NA	7.4066985645933	"dipońate"	"ṭipɔnætɛ"	"diponate 17"	FALSE
"'n"	"dipońate"	NA	7.4066985645933	"dipońate"	"ṭipɔnætɛ"	"diponate 17"	FALSE
"a"	"dipońate"	NA	7.4066985645933	"dipońate"	"ṭipɔnætɛ"	"diponate 17"	FALSE
"ch"	"dipońate"	NA	7.4066985645933	"dipońate"	"ṭipɔnætɛ"	"diponate 17"	FALSE
"e"	"dipońate"	NA	7.4066985645933	"dipońate"	"ṭipɔnætɛ"	"diponate 17"	FALSE
"i"	"dipońate"	"tiponate"	8.51674641148325	"dipońate"	"ṭipɔnætɛ"	"diponate 20"	TRUE
"p"	"dipońate"	"tiponate"	8.51674641148325	"dipońate"	"ṭipɔnætɛ"	"diponate 20"	TRUE
"o"	"dipońate"	"tiponate"	8.51674641148325	"dipońate"	"ṭipɔnætɛ"	"diponate 20"	TRUE
"a"	"dipońate"	"tiponate"	8.51674641148325	"dipońate"	"ṭipɔnætɛ"	"diponate 20"	TRUE
"ch"	"dipońate"	"tiponate"	8.51674641148325	"dipońate"	"ṭipɔnætɛ"	"diponate 20"	TRUE
"e"	"dipońate"	"tiponate"	8.51674641148325	"dipońate"	"ṭipɔnætɛ"	"diponate 20"	TRUE
"d"	"dipońate"	NA	6.32399179767601	"dipońate"	"ṭipɔnætɛ"	"diponate 9"	FALSE
"i"	"dipońate"	NA	6.32399179767601	"dipońate"	"ṭipɔnætɛ"	"diponate 9"	FALSE
"p"	"dipońate"	NA	6.32399179767601	"dipońate"	"ṭipɔnætɛ"	"diponate 9"	FALSE
"o"	"dipońate"	NA	6.32399179767601	"dipońate"	"ṭipɔnætɛ"	"diponate 9"	FALSE
"'n"	"dipońate"	NA	6.32399179767601	"dipońate"	"ṭipɔnætɛ"	"diponate 9"	FALSE
"a"	"dipońate"	NA	6.32399179767601	"dipońate"	"ṭipɔnætɛ"	"diponate 9"	FALSE
"ch"	"dipońate"	NA	6.32399179767601	"dipońate"	"ṭipɔnætɛ"	"diponate 9"	FALSE
"e"	"dipońate"	NA	6.32399179767601	"dipońate"	"ṭipɔnætɛ"	"diponate 9"	FALSE
"i"	"dipońate"	"tiponade"	6.88448393711552	"dipońate"	"ṭipɔnætɛ"	"diponate 3"	TRUE
"p"	"dipońate"	"tiponade"	6.88448393711552	"dipońate"	"ṭipɔnætɛ"	"diponate 3"	TRUE
"o"	"dipońate"	"tiponade"	6.88448393711552	"dipońate"	"ṭipɔnætɛ"	"diponate 3"	TRUE
"a"	"dipońate"	"tiponade"	6.88448393711552	"dipońate"	"ṭipɔnætɛ"	"diponate 3"	TRUE
"e"	"dipońate"	"tiponade"	6.88448393711552	"dipońate"	"ṭipɔnætɛ"	"diponate 3"	TRUE
"i"	"dipońate"	"tiponape"	7.37115516062885	"dipońate"	"ṭipɔnætɛ"	"diponate 27"	TRUE
"p"	"dipońate"	"tiponape"	7.37115516062885	"dipońate"	"ṭipɔnætɛ"	"diponate 27"	TRUE
"o"	"dipońate"	"tiponape"	7.37115516062885	"dipońate"	"ṭipɔnætɛ"	"diponate 27"	TRUE
"a"	"dipońate"	"tiponape"	7.37115516062885	"dipońate"	"ṭipɔnætɛ"	"diponate 27"	TRUE
"e"	"dipońate"	"tiponape"	7.37115516062885	"dipońate"	"ṭipɔnætɛ"	"diponate 27"	TRUE
"d"	"dipońate"	NA	5.24128503075871	"dipońate"	"ṭipɔnætɛ"	"diponate 21"	FALSE
"i"	"dipońate"	NA	5.24128503075871	"dipońate"	"ṭipɔnætɛ"	"diponate 21"	FALSE
"p"	"dipońate"	NA	5.24128503075871	"dipońate"	"ṭipɔnætɛ"	"diponate 21"	FALSE
"o"	"dipońate"	NA	5.24128503075871	"dipońate"	"ṭipɔnætɛ"	"diponate 21"	FALSE
"'n"	"dipońate"	NA	5.24128503075871	"dipońate"	"ṭipɔnætɛ"	"diponate 21"	FALSE
"a"	"dipońate"	NA	5.24128503075871	"dipońate"	"ṭipɔnætɛ"	"diponate 21"	FALSE
