"target"	"realization"	"target_word"	"mispronunciation"	"age"	"target_ortho"	"target_phono"	"tokid"
"ê"	"e"	"/9"	"te"	5.24128503075871	"dpê"	"ṭpə"	"dpe 12"
"dp"	"ch"	"/9"	"te"	5.52836637047163	"dpê"	"ṭpə"	"dpe 5"
"ê"	"e"	"/9"	"te"	5.52836637047163	"dpê"	"ṭpə"	"dpe 5"
"dp"	"ch"	"/9"	"t3"	10.1982228298018	"dpê"	"ṭpə"	"dpe 31"
"ê"	":a"	"/9"	"t3"	10.1982228298018	"dpê"	"ṭpə"	"dpe 31"
"dp"	"d"	"/9"	"d9"	7.47505126452495	"dpê"	"ṭpə"	"dpe 38"
"dp"	"tp"	"/9"	":a"	7.20710868079289	"dpê"	"ṭpə"	"dpe 28"
"ê"	"a"	"/9"	":a"	7.20710868079289	"dpê"	"ṭpə"	"dpe 28"
"dp"	"ch"	"/9"	"te"	7.12781954887218	"dpê"	"ṭpə"	"dpe 29"
"ê"	"e"	"/9"	"te"	7.12781954887218	"dpê"	"ṭpə"	"dpe 29"
"dp"	"ch"	"/9"	"t3"	10.1982228298018	"dpê"	"ṭpə"	"dpe 35"
"ê"	":a"	"/9"	"t3"	10.1982228298018	"dpê"	"ṭpə"	"dpe 35"
"dp"	"p"	"/E"	"pe"	6	"dpéé"	"ṭpeː"	"dpee 9"
"é"	"e"	"/E"	"pe"	6	"dpéé"	"ṭpeː"	"dpee 9"
"dp"	"ch"	"/E"	"te"	4.80109364319891	"dpéé"	"ṭpeː"	"dpee 14"
"é"	"e"	"/E"	"te"	4.80109364319891	"dpéé"	"ṭpeː"	"dpee 14"
"dp"	"tp"	"/E"	":e"	5.09637730690362	"dpéé"	"ṭpeː"	"dpee 21"
"é"	"e"	"/E"	":e"	5.09637730690362	"dpéé"	"ṭpeː"	"dpee 21"
"dp"	"p"	"/E"	"pe"	7.37115516062885	"dpéé"	"ṭpeː"	"dpee 25"
"é"	"e"	"/E"	"pe"	7.37115516062885	"dpéé"	"ṭpeː"	"dpee 25"
"dp"	"tp"	"/E"	":e"	9.09911141490089	"dpéé"	"ṭpeː"	"dpee 2"
"é"	"e"	"/E"	":e"	9.09911141490089	"dpéé"	"ṭpeː"	"dpee 2"
"dp"	"tp"	"/E"	":a"	6.88448393711552	"dpéé"	"ṭpeː"	"dpee 19"
"é"	"a"	"/E"	":a"	6.88448393711552	"dpéé"	"ṭpeː"	"dpee 19"
"dp"	"p"	"/E"	"pe"	7.60628844839371	"dpéé"	"ṭpeː"	"dpee 13"
"é"	"e"	"/E"	"pe"	7.60628844839371	"dpéé"	"ṭpeː"	"dpee 13"
"dp"	"tp"	"/E"	":e"	5.27136021872864	"dpéé"	"ṭpeː"	"dpee 10"
"é"	"e"	"/E"	":e"	5.27136021872864	"dpéé"	"ṭpeː"	"dpee 10"
"dp"	"p"	"/E"	"pe"	11.0321257689679	"dpéé"	"ṭpeː"	"dpee 24"
